#Insert performance Multiple Thread
# - Quantidade,  Tempo,  	Insert/segundo

100		10.3	9.7087
200		19.75	9.875
300		30,09	10.03
400		38.844	9.711
500		49.56	9.912
600		59.85	9.975
700		68.397	9.771
800		80.72	10.09
900		91.26	10.14
1000		101	9,900

