#Select performance Multiple Thread
# - Quantidade,  Tempo,  Select/segundo

100		9.8	10.204
200		18.9 	10.58
300		26.69	11.24
400		34.97	11.43
500		43.508	11.492
600		51.90	11.56
700		60.642	11.543
800		69.019	11.591
900		77.519	11.61
1000		86	11.62

