#Delete performance Multiple Thread
# - Quantidade,  Tempo,  delete/segundo

100		10.1	9.9
200		20	10
300		29.2	10.27
400		37.7	10.61
500		46.1	10.84
600		50.6	11.85
700		57.2	12.23
800		63.7	12.558
900		69.4	12.968
1000		75	13.333

